"","yearBP","spd","peri_numeric","cribra","porotic","d18OiceSMOW","lag_25yr","lag_50yr","lag_100yr","spd_fact","LIP_phase"
"1",450,0.0035517034134729,0,0,0,-16.99,-18.8,-17.73,-18.27,1,2
"2",451,0.00438793647661186,0,0,0,-17.13,-18.64,-18,-18.84,1,2
"3",452,0.00477876501791139,0,0,0,-18.24,-17.69,-18.63,-19.72,1,2
"4",453,0.0054712288813566,0,0,0,-18.32,-18.47,-17.91,-18.36,1,2
"5",454,0.00584416435119032,0,0,0,-18.59,-18.88,-16.64,-17.58,1,2
"6",455,0.00598051944949943,0,0,0,-18.64,-17.24,-16.36,-17.5,1,2
"7",456,0.00623536547777631,0,0,0,-18.04,-18.47,-17.16,-17.85,1,2
"8",457,0.00623536547777631,0,0,0,-17.6,-18.32,-17.09,-17.13,1,2
"9",458,0.00584416435119032,0,0,0,-16.71,-18.39,-18.07,-17.4,1,2
"10",459,0.00610463149729923,0,0,0,-17.29,-19.13,-19.86,-19.52,1,2
"11",460,0.0057272172378447,0,0,0,-17.54,-18.1,-17.98,-15.73,1,2
"12",461,0.0057272172378447,0,0,0,-16.81,-16.46,-20.57,-17.07,1,2
"13",462,0.0054712288813566,0,0,0,-17.29,-17.7,-19.61,-18.36,1,2
"14",463,0.0054712288813566,0,0,0,-17.2,-16.47,-17.18,-18.25,1,2
"15",464,0.00559371431360183,0,0,0,-17.05,-20.62,-16.9,-17.45,1,2
"16",465,0.00598051944949943,0,0,0,-18.56,-17.8,-16.79,-17.27,1,2
"17",466,0.0068119944185716,0,0,0,-19.3,-21.19,-16.98,-17.07,1,2
"18",467,0.00798802556966226,0,0,0,-19.25,-19.74,-18.76,-17.9,1,2
"19",468,0.0089792476090659,0,0,0,-17.38,-19.77,-17.64,-18.04,1,2
"20",469,0.0103136169802693,0,0,0,-19.01,-17.03,-16.43,-16.01,1,2
"21",470,0.0120407054211034,0,0,0,-19.05,-16.31,-17.67,-17.36,1,2
"22",471,0.0132760582881547,0,0,0,-19.84,-16.85,-15.76,-16.75,1,2
"23",472,0.0139172919987276,0,0,0,-19.86,-18.41,-16.79,-17.49,1,2
"24",473,0.014361143413778,0,0,0,-17.83,-16.98,-18.85,-17.87,1,2
"25",474,0.0150438781273261,0,0,0,-17.82,-16.53,-18.41,-16.96,1,2
"26",475,0.0133501913733645,0,0,0,-18.8,-17.73,-19.96,-15.22,1,2
"27",476,0.0139627604748967,0,0,0,-18.64,-18,-18.75,-16.37,1,2
"28",477,0.0145215711605543,0,0,0,-17.69,-18.63,-17.86,-18.07,1,2
"29",478,0.0150311748802205,0,0,0,-18.47,-17.91,-19.28,-16.76,1,2
"30",479,0.0154954473663004,0,0,0,-18.88,-16.64,-16.75,-16.46,1,2
"31",480,0.0159201316910823,0,0,0,-17.24,-16.36,-16.92,-16.04,1,2
"32",481,0.0163395076023104,0,0,0,-18.47,-17.16,-18.81,-15.3,1,2
"33",482,0.0167765536943507,0,0,0,-18.32,-17.09,-18.93,-15.82,1,2
"34",483,0.0172900930646651,0,0,0,-18.39,-18.07,-18.2,-17.21,1,2
"35",484,0.0178991957962943,0,0,0,-19.13,-19.86,-16.66,-17.6,1,2
"36",485,0.0186025229056989,0,0,0,-18.1,-17.98,-18.1,-18.18,1,2
"37",486,0.0194454901338817,0,0,0,-16.46,-20.57,-17.54,-18.99,1,2
"38",487,0.0203442780781073,0,0,0,-17.7,-19.61,-18.07,-19.38,1,2
"39",488,0.0213716875216784,0,0,0,-16.47,-17.18,-17.69,-20.58,1,2
"40",489,0.0224858454014825,0,0,0,-20.62,-16.9,-17.11,-20.43,1,2
"41",490,0.0238431058267853,0,0,0.666666666666667,-17.8,-16.79,-16.98,-17.34,1,2
"42",491,0.0253782034681975,0,0,0.666666666666667,-21.19,-16.98,-17.31,-17.29,1,2
"43",492,0.0271007942048177,0,0,0.666666666666667,-19.74,-18.76,-18.37,-17.6,1,2
"44",493,0.0290612450919849,0,0,0.666666666666667,-19.77,-17.64,-18.67,-18.19,1,2
"45",494,0.0312310042148937,0,0,0.666666666666667,-17.03,-16.43,-19.28,-18.08,1,2
"46",495,0.0336470147108732,0,0,0.666666666666667,-16.31,-17.67,-19.72,-19.06,2,2
"47",496,0.0362739368323225,0,0,0.666666666666667,-16.85,-15.76,-18.81,-21.09,2,2
"48",497,0.0390020247957453,0,0,0.888888888888889,-18.41,-16.79,-17.89,-20.79,2,2
"49",498,0.0419577483428236,0,0,0.888888888888889,-16.98,-18.85,-18.13,-17.67,2,2
"50",499,0.0451721283982078,0,0,1,-16.53,-18.41,-17.92,-16.84,2,2
"51",500,0.0486407434933114,0,0,1,-17.73,-19.96,-18.27,-16.35,2,2
"52",501,0.0523851209765206,0.361111111111111,0.777777777777778,0.666666666666667,-18,-18.75,-18.84,-16.63,2,2
"53",502,0.0564180718304137,0.361111111111111,0.777777777777778,0.666666666666667,-18.63,-17.86,-19.72,-17.25,2,2
"54",503,0.0607331658538239,0.361111111111111,0.777777777777778,0.666666666666667,-17.91,-19.28,-18.36,-18.02,2,2
"55",504,0.0652114920535893,0.619047619047619,1,0.571428571428571,-16.64,-16.75,-17.58,-17.48,2,2
"56",505,0.070004029135436,0.619047619047619,1,0.571428571428571,-16.36,-16.92,-17.5,-16.58,2,2
"57",506,0.0751066144508983,0.8125,0.875,0.5,-17.16,-18.81,-17.85,-19.36,1,2
"58",507,0.0805022299850699,0.866666666666667,0.7,0.4,-17.09,-18.93,-17.13,-17.81,1,2
"59",508,0.0860635121829884,1,0.538461538461539,0.307692307692308,-18.07,-18.2,-17.4,-19.24,1,2
"60",509,0.0919017234085444,1,0.538461538461539,0.307692307692308,-19.86,-16.66,-19.52,-21.52,1,2
"61",510,0.0980429055349724,0.928571428571428,0.5,0.380952380952381,-17.98,-18.1,-15.73,-17.55,1,2
"62",511,0.10449401337177,0.928571428571428,0.5,0.380952380952381,-20.57,-17.54,-17.07,-15.33,1,2
"63",512,0.111336053755911,0.892156862745098,0.549019607843137,0.313725490196078,-19.61,-18.07,-18.36,-16.56,1,2
"64",513,0.118720626628959,0.866666666666667,0.466666666666667,0.444444444444444,-17.18,-17.69,-18.25,-18.21,1,2
"65",514,0.126530070130712,0.842592592592593,0.518518518518518,0.37037037037037,-16.9,-17.11,-17.45,-16.2,1,2
"66",515,0.134710059940979,0.842592592592593,0.518518518518518,0.37037037037037,-16.79,-16.98,-17.27,-18.21,1,2
"67",516,0.143272623484286,0.866666666666667,0.583333333333333,0.4,-16.98,-17.31,-17.07,-17.75,1,2
"68",517,0.15244429391118,0.787878787878788,0.53030303030303,0.424242424242424,-18.76,-18.37,-17.9,-18.76,1,2
"69",518,0.161979951254054,0.787878787878788,0.53030303030303,0.424242424242424,-17.64,-18.67,-18.04,-17.48,1,2
"70",519,0.172161911674076,0.722222222222222,0.486111111111111,0.444444444444444,-16.43,-19.28,-16.01,-16.36,1,2
"71",520,0.183035629371656,0.722222222222222,0.486111111111111,0.444444444444444,-17.67,-19.72,-17.36,-18.04,1,2
"72",521,0.194565388217071,0.722222222222222,0.486111111111111,0.444444444444444,-15.76,-18.81,-16.75,-16.72,1,2
"73",522,0.206588318520227,0.722222222222222,0.486111111111111,0.444444444444444,-16.79,-17.89,-17.49,-15.46,1,2
"74",523,0.218970733668531,0.722222222222222,0.486111111111111,0.444444444444444,-18.85,-18.13,-17.87,-16.78,1,2
"75",524,0.231868367655645,0.722222222222222,0.486111111111111,0.444444444444444,-18.41,-17.92,-16.96,-18.21,1,2
"76",525,0.244910571919887,0.693333333333333,0.56,0.426666666666667,-19.96,-18.27,-15.22,-18.67,1,2
"77",526,0.258100611289548,0.75,0.538461538461539,0.41025641025641,-18.75,-18.84,-16.37,-16.44,1,2
"78",527,0.271458524165414,0.75,0.538461538461539,0.41025641025641,-17.86,-19.72,-18.07,-19.3,1,2
"79",528,0.284917137652612,0.802469135802469,0.518518518518518,0.395061728395062,-19.28,-18.36,-16.76,-18.65,1,2
"80",529,0.298448020403772,0.82183908045977,0.482758620689655,0.413793103448276,-16.75,-17.58,-16.46,-18.38,1,2
"81",530,0.312069643051544,0.8125,0.4375,0.375,-16.92,-17.5,-16.04,-17.47,1,2
"82",531,0.325811241888886,0.8125,0.4375,0.375,-18.81,-17.85,-15.3,-15.35,1,2
"83",532,0.339784002601767,0.8125,0.4375,0.375,-18.93,-17.13,-15.82,-16.7,1,2
"84",533,0.3540475928418,0.8125,0.4375,0.375,-18.2,-17.4,-17.21,-19.05,1,2
"85",534,0.368584309655815,0.842592592592593,0.388888888888889,0.407407407407407,-16.66,-19.52,-17.6,-18.32,1,2
"86",535,0.383429087754285,0.842592592592593,0.388888888888889,0.407407407407407,-18.1,-15.73,-18.18,-17.35,1,2
"87",536,0.398500871507789,0.798245614035088,0.378378378378378,0.421052631578947,-17.54,-17.07,-18.99,-17.17,1,2
"88",537,0.413762893322303,0.777777777777778,0.368421052631579,0.444444444444444,-18.07,-18.36,-19.38,-17.12,1,2
"89",538,0.429108646476008,0.773809523809524,0.341463414634146,0.476190476190476,-17.69,-18.25,-20.58,-18.75,1,2
"90",539,0.444229283228964,0.755813953488372,0.333333333333333,0.496124031007752,-17.11,-17.45,-20.43,-19.35,1,2
"91",540,0.458774740622075,0.722222222222222,0.424242424242424,0.474074074074074,-16.98,-17.27,-17.34,-18.03,1,2
"92",541,0.472710732097108,0.691489361702128,0.466666666666667,0.482269503546099,-17.31,-17.07,-17.29,-18.97,1,2
"93",542,0.485748119733283,0.691489361702128,0.466666666666667,0.482269503546099,-18.37,-17.9,-17.6,-19.02,1,2
"94",543,0.497828549658933,0.663265306122449,0.49645390070922,0.462585034013605,-18.67,-18.04,-18.19,-19.19,1,2
"95",544,0.508956318362634,0.663265306122449,0.49645390070922,0.462585034013605,-19.28,-16.01,-18.08,-17.87,1,2
"96",545,0.519106979391687,0.601851851851852,0.493589743589744,0.444444444444444,-19.72,-17.36,-19.06,-17.59,1,2
"97",546,0.528538332772854,0.580357142857143,0.475308641975309,0.436363636363636,-18.81,-16.75,-21.09,-17.63,1,2
"98",547,0.537324358477956,0.594086021505376,0.466666666666667,0.437158469945355,-17.89,-17.49,-20.79,-18.02,1,2
"99",548,0.54546308295802,0.575520833333333,0.451612903225806,0.423280423280423,-18.13,-17.87,-17.67,-18.28,1,2
"100",549,0.553073940719802,0.558080808080808,0.444444444444444,0.416666666666667,-17.92,-16.96,-16.84,-18.2,1,2
"101",550,0.560200658985894,0.571759259259259,0.439613526570048,0.419047619047619,-18.27,-15.22,-16.35,-17.63,1,2
"102",551,0.566919312849032,0.563926940639269,0.466666666666667,0.413145539906103,-18.84,-16.37,-16.63,-19.37,1,2
"103",552,0.573363336637629,0.562770562770563,0.441441441441441,0.408888888888889,-19.72,-18.07,-17.25,-18.79,1,2
"104",553,0.579477427682472,0.555555555555555,0.466666666666667,0.403508771929825,-18.36,-16.76,-18.02,-18.14,1,2
"105",554,0.585453625969732,0.548523206751055,0.491228070175439,0.415584415584416,-17.58,-16.46,-17.48,-18.55,1,2
"106",555,0.591139664709396,0.541666666666667,0.515151515151515,0.41025641025641,-17.5,-16.04,-16.58,-20.75,1,2
"107",556,0.596595004565093,0.534979423868313,0.508547008547009,0.40506329113924,-17.85,-15.3,-19.36,-18.26,1,2
"108",557,0.6018454524741,0.534979423868313,0.508547008547009,0.40506329113924,-17.13,-15.82,-17.81,-15.66,1,2
"109",558,0.60702062068853,0.528455284552846,0.531645569620253,0.383333333333333,-17.4,-17.21,-19.24,-16.23,1,2
"110",559,0.612006797798144,0.508230452674897,0.478632478632479,0.388185654008439,-19.52,-17.6,-21.52,-17.34,1,2
"111",560,0.616849470855162,0.490079365079365,0.460905349794239,0.390243902439024,-15.73,-18.18,-17.55,-16.13,3,2
"112",561,0.621647636877352,0.490079365079365,0.460905349794239,0.390243902439024,-17.07,-18.99,-15.33,-16.69,3,2
"113",562,0.626246068305042,0.490079365079365,0.460905349794239,0.390243902439024,-18.36,-19.38,-16.56,-17.52,3,2
"114",563,0.63067892437836,0.503875968992248,0.449799196787149,0.396825396825397,-18.25,-20.58,-18.21,-18.12,3,2
"115",564,0.635010048025857,0.498084291187739,0.444444444444444,0.407843137254902,-17.45,-20.43,-16.2,-19.32,3,2
"116",565,0.63918093370813,0.490079365079365,0.432098765432099,0.422764227642276,-17.27,-17.34,-18.21,-17.87,3,2
"117",566,0.643324240755431,0.484313725490196,0.426829268292683,0.417670682730924,-17.07,-17.29,-17.75,-17.07,3,2
"118",567,0.647210293803963,0.453488372093023,0.393574297188755,0.396825396825397,-17.9,-17.6,-18.76,-19.22,3,2
"119",568,0.651074207577902,0.464285714285714,0.403292181069959,0.395061728395062,-18.04,-18.19,-17.48,-19.83,3,2
"120",569,0.654801026909587,0.449186991869919,0.413502109704641,0.40506329113924,-16.01,-18.08,-16.36,-19.57,3,2
"121",570,0.658182824154395,0.443775100401606,0.408333333333333,0.4,-17.36,-19.06,-18.04,-17.35,3,2
"122",571,0.661379236712661,0.449186991869919,0.413502109704641,0.388185654008439,-16.75,-21.09,-16.72,-18.65,3,2
"123",572,0.664413771520241,0.443775100401606,0.408333333333333,0.366666666666667,-17.49,-20.79,-15.46,-19.86,3,2
"124",573,0.667359508998908,0.443775100401606,0.408333333333333,0.366666666666667,-17.87,-17.67,-16.78,-18.46,3,2
"125",574,0.670054133048524,0.454732510288066,0.418803418803419,0.358974358974359,-16.96,-16.84,-18.21,-18.52,3,2
"126",575,0.672740192806405,0.454732510288066,0.418803418803419,0.358974358974359,-15.22,-16.35,-18.67,-16.66,3,2
"127",576,0.675349137441845,0.454732510288066,0.418803418803419,0.358974358974359,-16.37,-16.63,-16.44,-19.5,3,2
"128",577,0.677871270312826,0.475609756097561,0.413502109704641,0.371308016877637,-18.07,-17.25,-19.3,-18.97,3,2
"129",578,0.680190454432355,0.475609756097561,0.413502109704641,0.371308016877637,-16.76,-18.02,-18.65,-19.38,3,2
"130",579,0.682338369729788,0.475609756097561,0.413502109704641,0.371308016877637,-16.46,-17.48,-18.38,-19.39,3,2
"131",580,0.684341978468258,0.454732510288066,0.418803418803419,0.358974358974359,-16.04,-16.58,-17.47,-19.31,3,2
"132",581,0.685984950561262,0.449186991869919,0.413502109704641,0.371308016877637,-15.3,-19.36,-15.35,-15.57,3,2
"133",582,0.68718561374355,0.454732510288066,0.418803418803419,0.358974358974359,-15.82,-17.81,-16.7,-15.69,3,2
"134",583,0.687821342821375,0.449186991869919,0.413502109704641,0.371308016877637,-17.21,-19.24,-19.05,-17.9,3,2
"135",584,0.687991621207753,0.454732510288066,0.418803418803419,0.376068376068376,-17.6,-21.52,-18.32,-16.59,3,2
"136",585,0.687663881450762,0.454732510288066,0.418803418803419,0.376068376068376,-18.18,-17.55,-17.35,-15.94,3,2
"137",586,0.686886064892635,0.454732510288066,0.418803418803419,0.376068376068376,-18.99,-15.33,-17.17,-15.72,3,2
"138",587,0.685772085777358,0.449186991869919,0.413502109704641,0.388185654008439,-19.38,-16.56,-17.12,-17.14,3,2
"139",588,0.684450873590675,0.449186991869919,0.413502109704641,0.40506329113924,-20.58,-18.21,-18.75,-16.78,3,2
"140",589,0.683146671598204,0.449186991869919,0.413502109704641,0.40506329113924,-20.43,-16.2,-19.35,-17.52,3,2
"141",590,0.682077448881513,0.469879518072289,0.408333333333333,0.4,-17.34,-18.21,-18.03,-17.91,3,2
"142",591,0.681252525277197,0.464285714285714,0.403292181069959,0.395061728395062,-17.29,-17.75,-18.97,-16.64,3,2
"143",592,0.681038212418571,0.453488372093023,0.393574297188755,0.401606425702811,-17.6,-18.76,-19.02,-14.39,3,2
"144",593,0.681506964267285,0.469879518072289,0.408333333333333,0.411522633744856,-18.19,-17.48,-19.19,-17.01,3,2
"145",594,0.682699244661419,0.464285714285714,0.403292181069959,0.40650406504065,-18.08,-16.36,-17.87,-18.27,3,2
"146",595,0.684526038208735,0.490079365079365,0.432098765432099,0.422764227642276,-19.06,-18.04,-17.59,-19.51,3,2
"147",596,0.686826686009651,0.490079365079365,0.432098765432099,0.422764227642276,-21.09,-16.72,-17.63,-18.38,3,2
"148",597,0.689716444348289,0.498084291187739,0.444444444444444,0.407843137254902,-20.79,-15.46,-18.02,-20.37,3,2
"149",598,0.693164459053837,0.503875968992248,0.449799196787149,0.396825396825397,-17.67,-16.78,-18.28,-20.38,3,2
"150",599,0.696997367756391,0.503875968992248,0.449799196787149,0.396825396825397,-16.84,-18.21,-18.2,-19.94,3,2
"151",600,0.701336793276316,0.490079365079365,0.460905349794239,0.390243902439024,-16.35,-18.67,-17.63,-18.34,3,2
"152",601,0.70621006514819,0.490079365079365,0.460905349794239,0.390243902439024,-16.63,-16.44,-19.37,-16.4,3,2
"153",602,0.711458464179979,0.502032520325203,0.472573839662447,0.4,-17.25,-19.3,-18.79,-19.28,3,2
"154",603,0.717133909898501,0.502032520325203,0.472573839662447,0.4,-18.02,-18.65,-18.14,-18.55,3,2
"155",604,0.723024183793015,0.514583333333333,0.484848484848485,0.393162393162393,-17.48,-18.38,-18.55,-17.32,3,2
"156",605,0.728704239714958,0.514583333333333,0.484848484848485,0.393162393162393,-16.58,-17.47,-20.75,-16.88,3,2
"157",606,0.734035091378578,0.514583333333333,0.484848484848485,0.393162393162393,-19.36,-15.35,-18.26,-15.78,3,2
"158",607,0.738800142488654,0.514583333333333,0.484848484848485,0.393162393162393,-17.81,-16.7,-15.66,-17.83,3,2
"159",608,0.742844557341295,0.514583333333333,0.484848484848485,0.393162393162393,-19.24,-19.05,-16.23,-17.46,3,2
"160",609,0.746256069042814,0.528455284552846,0.531645569620253,0.383333333333333,-21.52,-18.32,-17.34,-18.13,3,2
"161",610,0.748887399687438,0.528455284552846,0.531645569620253,0.383333333333333,-17.55,-17.35,-16.13,-17.77,3,2
"162",611,0.750780459833904,0.528455284552846,0.531645569620253,0.383333333333333,-15.33,-17.17,-16.69,-14.71,3,2
"163",612,0.752165881172602,0.528455284552846,0.531645569620253,0.383333333333333,-16.56,-17.12,-17.52,-17.17,3,2
"164",613,0.753037550125925,0.541666666666667,0.515151515151515,0.393162393162393,-18.21,-18.75,-18.12,-17.24,3,2
"165",614,0.753398967912678,0.541666666666667,0.515151515151515,0.393162393162393,-16.2,-19.35,-19.32,-18.06,3,2
"166",615,0.7535338134165,0.541666666666667,0.515151515151515,0.393162393162393,-18.21,-18.03,-17.87,-18.59,3,2
"167",616,0.753256946229784,0.541666666666667,0.515151515151515,0.393162393162393,-17.75,-18.97,-17.07,-18.45,3,2
"168",617,0.752552777315631,0.534979423868313,0.508547008547009,0.40506329113924,-18.76,-19.02,-19.22,-18.11,3,2
"169",618,0.751551300687059,0.534979423868313,0.508547008547009,0.40506329113924,-17.48,-19.19,-19.83,-17.46,3,2
"170",619,0.749920499430498,0.534979423868313,0.508547008547009,0.40506329113924,-16.36,-17.87,-19.57,-15.41,3,2
"171",620,0.747859045734793,0.534979423868313,0.508547008547009,0.40506329113924,-18.04,-17.59,-17.35,-14,3,2
"172",621,0.745127506901389,0.534979423868313,0.508547008547009,0.40506329113924,-16.72,-17.63,-18.65,-14.51,3,2
"173",622,0.742047852977186,0.534979423868313,0.508547008547009,0.40506329113924,-15.46,-18.02,-19.86,-16.42,3,2
"174",623,0.738458628079602,0.541666666666667,0.515151515151515,0.393162393162393,-16.78,-18.28,-18.46,-17.72,3,2
"175",624,0.734490782329592,0.521097046413502,0.460526315789474,0.398268398268398,-18.21,-18.2,-18.52,-17.72,3,2
"176",625,0.730048020196322,0.514583333333333,0.484848484848485,0.393162393162393,-18.67,-17.63,-16.66,-18.64,3,2
"177",626,0.725345067855707,0.514583333333333,0.484848484848485,0.393162393162393,-16.44,-19.37,-19.5,-20.34,3,2
"178",627,0.720286385543428,0.502032520325203,0.472573839662447,0.4,-19.3,-18.79,-18.97,-21.18,3,2
"179",628,0.715098301622943,0.490079365079365,0.460905349794239,0.390243902439024,-18.65,-18.14,-19.38,-17.95,3,2
"180",629,0.709742017434386,0.503875968992248,0.449799196787149,0.396825396825397,-18.38,-18.55,-19.39,-15.63,3,2
"181",630,0.704224235380365,0.498084291187739,0.444444444444444,0.407843137254902,-17.47,-20.75,-19.31,-17.81,3,2
"182",631,0.69880777613586,0.490079365079365,0.432098765432099,0.422764227642276,-15.35,-18.26,-15.57,-19.02,3,2
"183",632,0.693483568611876,0.464285714285714,0.403292181069959,0.40650406504065,-16.7,-15.66,-15.69,-19.09,3,2
"184",633,0.688277067148326,0.469879518072289,0.408333333333333,0.411522633744856,-19.05,-16.23,-17.9,-18.73,3,2
"185",634,0.683117606411994,0.475609756097561,0.413502109704641,0.4,-18.32,-17.34,-16.59,-16.22,3,2
"186",635,0.678024947297205,0.454732510288066,0.418803418803419,0.40506329113924,-17.35,-16.13,-15.94,-15.77,3,2
"187",636,0.67300031437744,0.449186991869919,0.413502109704641,0.40506329113924,-17.17,-16.69,-15.72,-19.17,3,2
"188",637,0.668054224494777,0.449186991869919,0.413502109704641,0.40506329113924,-17.12,-17.52,-17.14,-19.07,3,2
"189",638,0.663095957016132,0.449186991869919,0.413502109704641,0.40506329113924,-18.75,-18.12,-16.78,-17.72,3,2
"190",639,0.658280729794643,0.449186991869919,0.413502109704641,0.40506329113924,-19.35,-19.32,-17.52,-15.65,3,2
